"","docsequence","docid","docyear","doctype","allsubject","broadsubj","personalevent","wwritten","docauthorid","docauthorname","language","editor","briefname","nationality","birthyear","deathyear","birthplace","deathplace","ageatdeath","nativeoccupation","yearimmigration","stayednorthamerica","agewriting","marriagestatus","maternalstatus","authorgeneration","authorgender","culturalheritage","religion","northamericanoccupation"
"11",33,"S10003-D033",1840,"Letter","Alcoholism; Business affairs; Construction; Correspondence; Cousins; Deaths; Family separation; Grist mills; Siblings; Uncles; Health; Economics; Intellectual life; Relationships; Death of other family member","Health; Economics; Intellectual life; Relationships","Death of other family member","Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",27,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"12",34,"S10003-D034",1840,"Letter","Accidents; Acquaintances; Emotions and feelings; Winter; Transportation; Relationships; Health; Environment","Transportation; Relationships; Health; Environment",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",27,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"13",35,"S10003-D035",1840,"Letter","Apparel; Farm life; Female friends; Romantic relationships; Shipping; Siblings; Domestic life; Life Styles; Relationships; Economics","Domestic life; Life Styles; Relationships; Economics",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",27,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"14",36,"S10003-D036",1841,"Letter","Brothers; Childbirth; Farm workers; Farms; Immigrants and emigrants; Marriage; Personal finances; Relationships; Health; Agriculture; Communities; Domestic life; Economics","Relationships; Health; Agriculture; Communities; Domestic life; Economics","Childbirth","Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",28,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"15",37,"S10003-D037",1841,"Letter","Brothers; Business affairs; Children; Farming; Fevers; Ministers; Relationships; Economics; Life Styles; Health; Religion; Physical illness of author","Relationships; Economics; Life Styles; Health; Religion","Physical illness of author","Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",28,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"16",38,"S10003-D038",1841,"Letter","Emotions and feelings; Houses; Neighbors; Scenery; Health; Domestic life; Relationships; Environment","Health; Domestic life; Relationships; Environment",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",28,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"17",40,"S10003-D040",1841,"Letter","Children; Deaths; Physical illnesses; Relationships; Health; Death of child","Relationships; Health","Death of child","Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",28,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"18",41,"S10003-D041",1841,"Letter","Bereavement; Brothers; Children; Deaths; Farms; Horses; Nephews; Physical illnesses; Sociology; Relationships; Health; Communities; Environment; Death of child","Sociology; Relationships; Health; Communities; Environment","Death of child","Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",28,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"19",43,"S10003-D043",1842,"Letter","Anniversaries; Brothers; Business affairs; Business partners; Correspondence; Farming; Memories; Schools; Sons; Uncles; Sociology; Relationships; Economics; Intellectual life; Life Styles; Health; Education","Sociology; Relationships; Economics; Intellectual life; Life Styles; Health; Education",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",29,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"20",44,"S10003-D044",1842,"Letter","Apparel; Brothers; Business affairs; Childbirth; Cousins; Dating; Farming; Guests; Immigrants and emigrants; Personal finances; Sisters-in-law; Teachers; Domestic life; Relationships; Economics; Health; Sociology; Life Styles; Entertainment and recreation; Education","Domestic life; Relationships; Economics; Health; Sociology; Life Styles; Entertainment and recreation; Education","Childbirth","Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",29,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"21",46,"S10003-D046",1843,"Letter","Brothers; Immigration and emigration; Relationships; Domestic life","Relationships; Domestic life",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",30,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"22",47,"S10003-D047",1843,"Letter","Brothers; Business affairs; Departures; Financial investments; German people; Property sales; Sons; Relationships; Economics; Domestic life; Ethnic groups","Relationships; Economics; Domestic life; Ethnic groups",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",30,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"23",48,"S10003-D048",1844,"Letter","Doctors; Fevers; Income; Personal finances; Sons; Health; Economics; Relationships","Health; Economics; Relationships",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",31,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"24",50,"S10003-D050",1844,"Letter","Childbirth; Correspondence; Daughters; Doctors; Husbands; Siblings; Health; Intellectual life; Relationships","Health; Intellectual life; Relationships","Childbirth","Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",31,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"25",51,"S10003-D051",1845,"Letter","Children; English language; Friends; Immigrants and emigrants; Letters and mail; Ministers; Servants; Sons; Relationships; Intellectual life; Domestic life; Politics; Religion","Relationships; Intellectual life; Domestic life; Politics; Religion",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",32,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"26",52,"S10003-D052",1846,"Letter","Brothers; Childbirth; Friends; Husbands; Marriage; Neighbors; Physical health; Physical illnesses; Teachers; Weather; Relationships; Health; Education; Environment","Relationships; Health; Education; Environment",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",33,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"27",53,"S10003-D053",1846,"Letter","Brothers; Cousins; Farming; Portraits; Schools; Sons; Relationships; Life Styles; Intellectual life; Education","Relationships; Life Styles; Intellectual life; Education",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",33,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"28",54,"S10003-D054",1846,"Letter","Brothers; Clergy; Cousins; Family; Guests; Hospitals; Physical health; Relationships; Religion; Entertainment and recreation; Communities; Health","Relationships; Religion; Entertainment and recreation; Communities; Health",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",33,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"29",55,"S10003-D055",1847,"Letter","Business partners; Childbirth; Church services; Correspondence; Deaths; Physical illnesses; Sisters-in-law; Travel; Relationships; Health; Religion; Intellectual life; Entertainment and recreation; St. Louis, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America; Death of other family member","Relationships; Health; Religion; Intellectual life; Entertainment and recreation","Death of other family member","Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",34,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"30",56,"S10003-D056",1847,"Letter","Children; Cousins; Deaths; Physical illnesses; Sisters-in-law; Relationships; Health","Relationships; Health",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",34,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"31",57,"S10003-D057",1847,"Letter","Children; Relationships","Relationships",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",34,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"32",58,"S10003-D058",1848,"Letter","Business affairs; Correspondence; Deaths; Fiances; Friends; Economics; Intellectual life; Health; Relationships","Economics; Intellectual life; Health; Relationships",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",35,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"33",59,"S10003-D059",1848,"Letter","Brothers; Business affairs; Childbirth; Children; Christmas; Correspondence; Relationships; Economics; Health; Religion; Intellectual life","Relationships; Economics; Health; Religion; Intellectual life",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",35,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"34",60,"S10003-D060",1849,"Letter","Cold weather; Emotions and feelings; Gardens; Environment; Health; Domestic life","Environment; Health; Domestic life",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",36,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"35",61,"S10003-D061",1849,"Letter","Anniversaries; Children; Imagination; Sociology; Relationships; Health","Sociology; Relationships; Health",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",36,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"36",62,"S10003-D062",1849,"Letter","Career choice; Children; Cholera; Correspondence; Fevers; Household repairs; Ministers; Sons; War; Economics; Relationships; Health; Intellectual life; Domestic life; Religion; Military","Economics; Relationships; Health; Intellectual life; Domestic life; Religion; Military",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",36,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"37",63,"S10003-D063",1850,"Letter","Broken bones; Guests; Husbands; Personal finances; Health; Entertainment and recreation; Relationships; Economics","Health; Entertainment and recreation; Relationships; Economics",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",37,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"38",64,"S10003-D064",1850,"Letter","Brothers; Children; Departures; Relationships; Domestic life; California; United States; Western States; West Coast States; North America","Relationships; Domestic life",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",37,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
"39",65,"S10003-D065",1850,"Letter","Brothers; Business affairs; Children; Correspondence; Departures; Gold mining; Schools; Relationships; Economics; Intellectual life; Domestic life; Education; California; United States; Western States; West Coast States; North America","Relationships; Economics; Intellectual life; Domestic life; Education",NA,"Westphalia, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America","per0022938","Bruns, Jette, 1813-1899","English; German","Schroeder, Adoplh E., tr.; Geisberg, Carla Schulz, ed.","Jette Bruns","United States",1813,1899,"Germany; Western Europe; Europe","Jefferson City, MO; Missouri; United States; West North Central States; Midwest States; Mississippi Basin States; North America",86,"Businessman; Homemaker; Physician; Student",1836,"Stayed",37,"Married","Mother","First","F","German; European","Catholic; Christian","Homemaker; Physician"
